epoch,step,train_loss_step
0,0,0.00014715828001499176
0,1,0.0002882036496885121
0,2,0.00011402063682908192
0,3,0.00013450173719320446
0,4,0.008229757659137249
0,5,0.0067351520992815495
0,6,0.0012688017450273037
0,7,0.0003437743289396167
0,8,0.0011844350956380367
0,9,0.0002502204733900726
0,10,0.0002635053242556751
0,11,0.0001952246093424037
0,12,0.0070233820006251335
0,13,0.0001357338041998446
0,14,0.0018471117364242673
0,15,0.00011494022328406572
0,16,0.0014389678835868835
0,17,0.0008159540593624115
0,18,0.00017396980547346175
0,19,0.0003087160876020789
0,20,0.006245268043130636
0,21,0.00024243464577011764
0,22,0.002856775186955929
0,23,0.019793793559074402
0,24,0.0008540826383978128
0,25,0.00048413389595225453
0,26,0.0002666061045601964
0,27,0.0002728426188696176
0,28,0.0005013603949919343
0,29,0.0007712962105870247
0,30,0.006458664778620005
0,31,0.0004268126795068383
0,32,0.00026331591652706265
0,33,0.00033210404217243195
0,34,0.00020231827511452138
0,35,0.00018992330296896398
0,36,0.00021348812151700258
0,37,0.00017628754721954465
0,38,0.00020171314827166498
0,39,0.0003551333793438971
0,40,0.0010910897981375456
0,41,0.0001881374337244779
0,42,0.00023176816466730088
0,43,0.0006422888254746795
